sample_name,sample_type,bro_number,weight_g_wet,date_collected,volume_filtered_mL,dna_concentration_ng/ul,date_extracted,date_sent_UCI,date_sent_MGAL,height_cm,diameter_cm,pH,concentration(ngPERµL)
LY_BR1_D_S11_L001,Leaf,1,0.1951,20221102,NA,15.7,20221109,20221128,20221128,95,70,7.92,0.157
LY_BR1_Detrit_S1_L001,Detritivore,1,0.2122,20221102,NA,0.277,20221109,20221128,20221128,95,70,7.92,0.277
LY_BR1_Toxo_S6_L001,Toxo,1,NA,20221102,NA,1.63,20221109,20221128,20221128,95,70,7.92,0.0163
LY_BR1_W1_S16_L001,Water,1,NA,20221102,360,37.5,20221109,20221128,20221128,95,70,7.92,3.75
LY_BR1_W2,Water,1,NA,20221102,365,12,20221109,20221128,20221128,95,70,7.92,1.2
LY_BR2_D_S12_L001,Leaf,2,0.1664,20221102,NA,1.31,20221109,20221128,20221128,35,50,6.61,0.0131
LY_BR2_Detrit_S2_L001,Detritivore,2,0.2214,20221102,NA,0.096,20221109,20221128,20221128,35,50,6.61,0.096
LY_BR2_Toxo_S7_L001,Toxo,2,NA,20221102,NA,2.14,20221109,20221128,20221128,35,50,6.61,0.0214
LY_BR2_W1,Water,2,NA,20221102,300,1.52,20221109,20221128,20221128,35,50,6.61,0.0152
LY_BR2_W2_S17_L001,Water,2,NA,20221102,350,2.01,20221109,20221128,20221128,35,50,6.61,0.0201
LY_BR2_W3,Water,2,NA,20221102,310,1.17,20221109,20221128,20221128,60,15,8.01,0.0117
LY_BR3_D_S13_L001,Leaf,3,0.1943,20221103,NA,2.55,20221109,20221128,20221128,60,15,8.01,0.0255
LY_BR3_Detrit_S3_L001,Detritivore,3,0.0491,20221103,NA,9.45,20221109,20221128,20221128,60,15,8.01,9.45
LY_BR3_Toxo_S8_L001,Toxo,3,NA,20221103,NA,1.4,20221109,20221128,20221128,60,15,8.01,0.014
LY_BR3_W1_S18_L001,Water,3,NA,20221103,100,11.4,20221109,20221128,20221128,60,15,8.01,1.14
LY_BR3_W2,Water,3,NA,20221103,155,1.32,20221109,20221128,20221128,87,95,6.56,0.0132
LY_BR4_D_S14_L001,Leaf,4,0.199,20221103,NA,2.86,20221109,20221128,20221128,87,95,6.56,0.0286
LY_BR4_Detrit_S4_L001,Detritivore,4,0.2376,20221103,NA,0.19,20221109,20221128,20221128,87,95,6.56,0.19
LY_BR4_Toxo_S9_L001,Toxo,4,NA,20221103,NA,46.4,20221109,20221128,20221128,87,95,6.56,0.464
LY_BR4_W1_S19_L001,Water,4,NA,20221103,505,9.52,20221109,20221128,20221128,87,95,6.56,0.952
LY_BR5_D_S15_L001,Leaf,5,0.1943,20221103,NA,3.51,20221109,20221128,20221128,57,115,7.01,0.0351
LY_BR5_Detrit_S5_L001,Detritivore,5,0.2624,20221103,NA,0.16,20221109,20221128,20221128,57,115,7.01,0.16
LY_BR5_Toxo_S10_L001,Toxo,5,NA,20221103,NA,2.41,20221109,20221128,20221128,57,115,7.01,0.0241
LY_BR5_W1_S20_L001,Water,5,NA,20221103,220,3.11,20221109,20221128,20221128,57,115,7.01,0.0311
LY_BR5_W2,Water,5,NA,20221103,200,2.62,20221109,20221128,20221128,57,115,7.01,0.0262
EXT_NEG_LY_S21_L001,Neg_Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00001
PCR_pos_LY_S22_L001,Pos_Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3